#ACoolDataset - List of Active
﻿LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000000320-0044-4,PUBLIC STORAGE INC,PUBLIC STORAGE | PUBLIC STORAGE #23014,7900 DEERING AVENUE,CANOGA PARK,91304-5007,7900 DEERING 91304-5007,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),3,05/05/2010,,"(34.2139, -118.5951)"
0000000320-0048-7,PUBLIC STORAGE INC,PUBLIC STORAGE # 23049,12665 FOOTHILL BLVD,SYLMAR,91342-5312,12665 FOOTHILL 91342-5312,701 WESTERN AVENUE,GLENDALE,91201-2349,531100,Lessors of real estate (including mini warehouses & self-storage units),7,06/30/2010,,"(34.2897, -118.4112)"
0000000320-0049-5,PUBLIC STORAGE INC,PUBLIC STORAGE #25759,16045 FOOTHILL BLVD,SYLMAR,91342-0785,16045 FOOTHILL 91342-0785,701 WESTERN AVENUE,GLENDALE,91201-2349,532290,Other consumer goods rental,7,06/28/2012,,"(34.321, -118.4814)"
0000000340-0001-8,CHESHIRE COUNTY CO INC,,10428 WEDDINGTON STREET,NORTH HOLLYWOOD,91601-3529,10428 WEDDINGTON 91601-3529,16501 VENTURA BLVD SUITE #510,ENCINO,91436-2070,,,4,07/01/1973,,"(34.1666, -118.3581)"
0000000405-0001-4,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,18210 SHERMAN WAY #D,RESEDA,91335-4583,18210 SHERMAN 91335-4583,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",3,01/01/1991,,"(34.201, -118.5303)"
0000000499-0001-5,ANA PLASCENCIA REYES,,9824 1/2 KESTER AVENUE,NORTH HILLS,91343-2414,9824 KESTER 91343-2414,,,,561720,Janitorial services,7,06/20/2001,,"(34.2487, -118.4565)"
0000000537-0001-2,L D S SOCIAL SERVICES,,13042 BURBANK BLVD,SHERMAN OAKS,91401-5409,13042 BURBANK 91401,,,,561500,Travel arrangement & reservation services,4,12/13/1993,,"(34.1721, -118.417)"
0000000539-0001-1,STEPHAN BASS MD INC,,20141 WINNETKA COURT,WOODLAND HILLS,91364-4620,20141 WINNETKA 91364-4620,,,,621111,Offices of physicians (except mental health specialists),3,01/01/2001,,"(34.1536, -118.5719)"
0000000570-0001-5,LOS ANGELES SECTION-NATIONAL COUNCIL OF JEWISH WOMEN INC,,14526 VICTORY BLVD,VAN NUYS,91411-1618,14526 VICTORY 91411-1618,543 N FAIRFAX AVENUE,LOS ANGELES,90036-1715,453310,Used merchandise stores,6,01/01/1997,,"(34.1866, -118.4496)"
0000000575-0001-8,AHF HEALTHCARE CENTERS /C,AHF HEALTHCARE CENTER/VALLEY,4835 VAN NUYS BLVD #200,SHERMAN OAKS,91403-2139,4835 VAN NUYS 91403-2139,6255 W SUNSET BLVD #21FL,LOS ANGELES,90028-7422,621400,Outpatient  care centers,4,03/01/2000,,"(34.1582, -118.4487)"
0000000621-0001-0,CINTHIA RIDING,AROUND THE KORNER CENTER FOR SCHOOL AGE ENRICHMENT,8800 WOODMAN AVENUE,ARLETA,91331-6519,8800 WOODMAN 91331-6519,,,,611000,"Educational services (including schools, colleges, & universities)",6,06/18/1997,,"(34.2296, -118.4362)"
0000000625-0001-8,NETANELI HEBREW ACADEMY /C,,7350 RESEDA BLVD,RESEDA,91335-3047,7350 RESEDA 91335-3047,POST OFFICE BOX #370037,RESEDA,91337-0037,611000,"Educational services (including schools, colleges, & universities)",3,12/02/1993,,"(34.2038, -118.536)"
0000000660-0001-0,THOMAS A MURPHEY,,17418 TUSCAN DRIVE,GRANADA HILLS,91344-1055,17418 TUSCAN 91344-1055,,,,561500,Travel arrangement & reservation services,12,01/01/1999,,"(34.3055, -118.5129)"
0000000712-0001-9,COMMUNITIES IN SCHOOLS OF SAN FERNANDO VALLEY INC,,8743 BURNET AVENUE,NORTH HILLS,91343-5403,8743 BURNET 91343-5403,8743 BURNET AVENUE,NORTH HILLS,91343-5403,611000,"Educational services (including schools, colleges, & universities)",6,03/18/1994,,"(34.23, -118.4632)"
0000000720-0001-3,LEIGH CLARK,,16349 LOS ALIMOS STREET,GRANADA HILLS,91344-6858,16349 LOS ALIMOS 91344-6858,,,,561500,Travel arrangement & reservation services,12,03/28/2000,,"(34.2655, -118.4885)"
0000000726-0001-1,JOYCE WILLING,,10510 ODESSA AVENUE,GRANADA HILLS,91344-6721,10510 ODESSA 91344-6721,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",12,01/01/1999,,
0000000730-0001-7,SCOTT T HIGGINS,,3900 GOODLAND AVENUE,STUDIO CITY,91604-2316,3900 GOODLAND 91604-2316,,,,561500,Travel arrangement & reservation services,2,01/01/1999,,"(34.1401, -118.4088)"
0000000740-0001-1,STUDIO CITY BEAUTIFICATION ASSOCIATION,STUDIO CITY FARMER'S MARKET,12153 VENTURA BLVD,STUDIO CITY,91604-2507,12153 VENTURA 91604-2507,POST OFFICE BOX #1374,STUDIO CITY,91614-0374,541320,Landscape architecture services,2,04/01/1991,,"(34.1434, -118.3968)"
0000000783-0001-9,MARY E MALLORY,,11161 1/4 ACAMA STREET,STUDIO CITY,91602-4110,11161 ACAMA 91602-4110,,,,561500,Travel arrangement & reservation services,2,09/01/2000,,"(34.1461, -118.3729)"
0000000798-0001-5,CAROL J ROBERTS,,9031 FORBES AVENUE,NORTHRIDGE,91343-4007,9031 FORBES 91343,,,,611000,"Educational services (including schools, colleges, & universities)",12,08/06/1997,,"(34.2343, -118.4999)"
0000000802-0001-3,ANASTASIOS ANTONOPOULOS,,6301 SYLVIA AVENUE,TARZANA,91335-6609,6301 SYLVIA 91335-6609,,,,233210,Single Family Housing Construction (1997 NAICS),3,01/01/2000,,"(34.1848, -118.5523)"
0000000836-0001-2,"RUTH GOSTING AND ASSOCIATES, INC",,18137 LABRADOR STREET,NORTHRIDGE,91325-1705,18137 LABRADOR 91325-1705,,,,611000,"Educational services (including schools, colleges, & universities)",12,05/01/1991,,"(34.249, -118.5286)"
0000000849-0001-0,JOSE LUIS MOTA/NORMA F MOTA,JOSE LUIS MOTA LANDSCAPING SERVICES,15846 LEADWELL STREET,VAN NUYS,91406-3112,15846 LEADWELL 91406-3112,,,,561500,Travel arrangement & reservation services,6,01/01/1999,,"(34.2039, -118.4781)"
0000000858-0001-9,"JORETTA A SCOTT, R.D.",,10575 OTSEGO STREET,NORTH HOLLYWOOD,91601-4139,10575 OTSEGO 91601-4139,10575 OTSEGO STREET,N HOLLYWOOD,91601-4139,561500,Travel arrangement & reservation services,4,01/01/1999,,"(34.163, -118.3611)"
0000000901-0001-7,HEROES OF LIFE,,11243 GLENOAKS BLVD SUITE #7,PACOIMA,91331-7308,11243 GLENOAKS 91331-7308,,,,624100,Individual & family services,7,04/01/2000,,"(34.2746, -118.4127)"
0000000943-0003-7,ABILITYFIRST,,6530 WINNETKA AVENUE,WOODLAND HILLS,91367-2732,6530 WINNETKA 91367-2732,1300 E GREEN STREET,PASADENA,91106-2606,624100,Individual & family services,3,08/09/1943,,"(34.1892, -118.5709)"
0000000952-0001-0,"THE STOREHOUSE OF JESUS, THE LIVING CHRIST",,16115 JERSEY STREET,GRANADA HILLS,91344-5328,16115 JERSEY 90344,,,,561500,Travel arrangement & reservation services,12,12/23/1997,,"(34.2673, -118.483)"
0000000990-0001-5,LONE STAR FOUNDATION INC,,6430 INDEPENDENCE AVENUE,WOODLAND HILLS,91367-2607,6430 INDEPENDENCE 91367-2607,,,,561300,Employment services,3,10/29/1999,,"(34.1873, -118.5906)"
0000001016-0001-7,ROBERT D LIZARRAGA,,4720 SANTA LUCIA DRIVE,WOODLAND HILLS,91364-4218,4720 SANTA LUCIA 91364-4218,,,,561500,Travel arrangement & reservation services,3,01/01/1999,,"(34.1532, -118.6044)"
0000001041-0001-5,PAULINE JOAN MENGEL,,16654 DONMETZ STREET,GRANADA HILLS,91344-4227,16654 DONMETZ 91344-4227,,,,561500,Travel arrangement & reservation services,12,01/01/1999,,"(34.2738, -118.4956)"
0000001051-0001-9,SPECIAL SERVICE FOR GROUPS,ASIAN PACIFIC COUNSELING & TREATMENT CENTERS,15400 SHERMAN WAY SUITE #220,VAN NUYS,91406-7403,15400 SHERMAN 91406-7403,905 E 8TH STREET,LOS ANGELES,90021-1848,621399,Offices of all other miscellaneous health practitioners,6,09/29/1993,,"(34.2011, -118.4684)"
0000001086-0001-2,ROBERT L MERIN DDS MS INC,,6342 FALLBROOK AVENUE #101,WOODLAND HILLS,91367-1613,6342 FALLBROOK 91367-1613,,,,621111,Offices of physicians (except mental health specialists),3,08/01/1974,,"(34.1853, -118.6233)"
0000001093-0003-9,HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES,,12450 VAN NUYS BLVD #100,PACOIMA,91331-1392,12450 VAN NUYS 91331-1392,210 S DE LACEY AVENUE #110,PASADENA,91105-2074,621400,Outpatient  care centers,7,06/01/1991,,"(34.2794, -118.4037)"
0000001093-0004-7,HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES,,12510 VAN NUYS BLVD #201,PACOIMA,91331-6732,12510 VAN NUYS 91331-6732,210 S DE LACEY AVENUE #110,PASADENA,91105-2074,621400,Outpatient  care centers,7,06/01/1991,,"(34.2782, -118.4054)"
0000001115-0001-1,MERIAM J CHAN/LOUISA/HENRY TAN JAO/ROMAR U/INES G ABITRIA/PEDRO/ALICE C NGO,CALIFORNIA COPY/PRINTING CENTER,21416 VENTURA BLVD,WOODLAND HILLS,91364-2008,21416 VENTURA 91364-2008,,,,453210,Office supplies & stationery stores,3,04/01/1992,,"(34.1678, -118.5976)"
0000001183-0001-7,OPTIONS FOR YOUTH-BURBANK INC,,6628 VAN NUYS BLVD,VAN NUYS,91405-4617,6628 VAN NUYS 91405-4617,320 N HALSTEAD STREET SUITE #150,PASADENA,91107-3179,541600,"Management, scientific, & technical consulting services",6,09/01/2000,,"(34.1911, -118.4487)"
0000001183-0002-5,OPTIONS FOR YOUTH-BURBANK INC,,8421 RESEDA BLVD,NORTHRIDGE,91324-4625,8421 RESEDA 91324-4625,320 N HALSTEAD STREET SUITE #150,PASADENA,91107-3179,561110,Office administrative services,12,05/01/2011,,"(34.223, -118.536)"
0000001219-0001-7,CHONG POK T GENERAL PARTNERSHIP,,6926 CEDROS AVENUE,VAN NUYS,91405-3848,6926 CEDROS 91405-3848,,,,233210,Single Family Housing Construction (1997 NAICS),6,01/01/2001,,"(34.1965, -118.453)"
0000001305-0001-3,JEREMY P HOWARD,,14101 DICKENS STREET #2,SHERMAN OAKS,91423-4253,14101 DICKENS 91423-4253,,,,,,4,02/02/1999,,"(34.1481, -118.4403)"
0000001310-0001-4,MUHAMMAD TARIQ BASHIR,,11021 VANALDEN AVENUE,PORTER RANCH,91326-2324,11021 VANALDEN 91326-2324,,,,561500,Travel arrangement & reservation services,12,01/25/1999,,"(34.2706, -118.5472)"
0000001320-0001-8,SOCIAL VOCATIONAL SERVICES INC,,16800 DEVONSHIRE STREET #305,GRANADA HILLS,91344-7410,16800 DEVONSHIRE 91344-7410,3555 TORRANCE BLVD,TORRANCE,90503-4802,611000,"Educational services (including schools, colleges, & universities)",12,09/01/1991,,"(34.2574, -118.4979)"
0000001336-0001-9,KIWANIS CLUB OF NORTHRIDGE FOUNDATION,,9144 BURNET AVENUE #45,NORTH HILLS,91343-7044,9144 BURNET 91343-7044,POST OFFICE BOX #280041,NORTHRIDGE,91328-0041,561500,Travel arrangement & reservation services,7,09/01/1991,,"(34.2362, -118.4632)"
0000001345-0001-8,S RICHARD FRIESEN,BIRDBRAIN ARTS,16600 HAMLIN STREET,LAKE BALBOA,91406-5615,16600 HAMLIN 91406-5615,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6,01/01/1999,,
0000001363-0001-6,ELIZA SHANKS HOMES INC,,13055 WEIDNER STREET,PACOIMA,91331-1822,13055 WEIDNER 91331,,,,623000,Nursing & residential care facilities,7,02/24/1995,,"(34.2766, -118.4177)"
0000001364-0001-1,WET PAINT PRODUCTIONS LLC,WET PAINT,5230 KESTER AVENUE #4,SHERMAN OAKS,91411-4019,5230 KESTER 91411-4019,,,,711300,"Promoters of performing arts, sports, & similar events",2,01/01/2000,,
0000001379-0002-5,MARCIA CAROL SIDEROW,"CARE 4 YOUR PET DOG TRAINING, CARE 4 YOUR PET",20331 SUPERIOR STREET,CHATSWORTH,91311-5375,20331 SUPERIOR 91311-5375,,,,561300,Employment services,12,02/21/2009,,"(34.2465, -118.5766)"
0000001385-0001-2,THE STILLPOINT RESOURCES CHARITABLE TRUST,,21134 COSTANSO STREET,WOODLAND HILLS,91364-2032,21134 COSTANSO 91364-2032,7444 CHAMINADE AVENUE,WEST HILLS,91304-5329,624100,Individual & family services,3,06/12/1998,,"(34.1661, -118.5937)"
0000001385-0002-1,THE STILLPOINT RESOURCES CHARITABLE TRUST,,6740 FALLBROOK AVENUE SUITE #107,WEST HILLS,91307-3936,6740 FALLBROOK 91307-3936,,,,624100,Individual & family services,12,06/12/1998,,"(34.1928, -118.6233)"
0000001387-0001-1,NATIONAL ORGANIZATION FOR RENAL DISEASE,,11018 AQUA VISTA STREET #19,STUDIO CITY,91602-3137,11018 AQUA VISTA 91602-3137,,,,611000,"Educational services (including schools, colleges, & universities)",2,09/14/1999,,"(34.1449, -118.3705)"
0000001395-0001-6,CALIFORNIA CHRISTIAN COUNSELING CENTER,,7120 HAYVENHURST AVENUE #118,VAN NUYS,91406-3813,7120 HAYVENHURST 91406-3813,,,,561500,Travel arrangement & reservation services,6,11/01/1991,,"(34.1997, -118.4923)"
0000001408-0001-5,PRINTMAX INC,PRINTMAX,6463 VALLEY CIRCLE TERRACE,WEST HILLS,91307-2747,6463 VALLEY CIRCLE 91307-2747,,,,561430,Business service centers (including private mail centers & copy shops),12,02/01/1991,,"(34.188, -118.6561)"
0000001436-0001-7,SP PLUS CORPORATION,82288,16130 VENTURA BLVD,ENCINO,91436-2503,16130 VENTURA 91436-2503,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,5,02/23/1984,,"(34.1564, -118.4843)"
0000001436-0017-3,SP PLUS CORPORATION,#81390,18321 VENTURA BLVD,TARZANA,91356-4228,18321 VENTURA 91356-4228,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,07/01/2007,,"(34.1669, -118.5314)"
0000001436-0020-3,SP PLUS CORPORATION,#81402,4640 LANKERSHIM BLVD,NORTH HOLLYWOOD,91602-1841,4640 LANKERSHIM 91602-1841,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,2,08/06/2007,,"(34.1547, -118.3685)"
0000001436-0047-5,SP PLUS CORPORATION,P74183,21021 VENTURA BLVD,WOODLAND HILLS,91364-2206,21021 VENTURA 91364-2206,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,02/01/1994,,"(34.1666, -118.5912)"
0000001436-0056-4,SP PLUS CORPORATION,LOT #74257,14901 RINALDI STREET,MISSION HILLS,91345-1204,14901 RINALDI 91345-1204,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,7,12/01/1994,,"(34.279, -118.4572)"
0000001436-0057-2,SP PLUS CORPORATION,LOT #74142,20335 VENTURA BLVD,WOODLAND HILLS,91364-2444,20335 VENTURA 91364-2444,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,12/01/1994,,"(34.1692, -118.5756)"
0000001436-0058-1,SP PLUS CORPORATION,LOT #80672,19231 VICTORY BLVD,RESEDA,91335-6308,19231 VICTORY 91335-6308,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,10/16/2001,,"(34.1865, -118.5523)"
0000001436-0059-9,SP PLUS CORPORATION,LOT #74027,12050 VENTURA BLVD,STUDIO CITY,91604-2638,12050 VENTURA 91604-2638,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,2,05/01/1995,,"(34.1437, -118.3935)"
0000001436-0061-1,SP PLUS CORPORATION,80992 | 82163,5990 SEPULVEDA BLVD,VAN NUYS,91411-2500,5990 SEPULVEDA 91411-2500,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,4,04/01/1996,,"(34.179, -118.4661)"
0000001436-0088-2,SP PLUS CORPORATION,#81582 | LOT #81582,5830 CANOGA AVENUE,WOODLAND HILLS,91367-6503,5830 CANOGA 91367-6503,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,10/30/2001,,"(34.1759, -118.5973)"
0000001436-0093-9,SP PLUS CORPORATION,LOT #80702,5525 ETIWANDA AVENUE,TARZANA,91356-3647,5525 ETIWANDA 91356-3647,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,10/25/2001,,"(34.1705, -118.5308)"
0000001436-0094-7,SP PLUS CORPORATION,LOT #40986,18308 CLARK STREET,TARZANA,91356-3502,18308 CLARK 91356-3502,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,03/01/2005,,"(34.1697, -118.531)"
0000001436-0098-0,SP PLUS CORPORATION,LOT #80705,17141 VENTURA BLVD,ENCINO,91316-4027,17141 VENTURA 91316-4027,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,5,01/01/2002,,"(34.1603, -118.5063)"
0000001436-0100-5,SP PLUS CORPORATION,LOT #80003,4910 VAN NUYS BLVD,SHERMAN OAKS,91403-1715,4910 VAN NUYS 91403-1715,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,4,03/01/1981,,"(34.1596, -118.4487)"
0000001436-0101-3,SP PLUS CORPORATION,LOT #80006,4419 VAN NUYS BLVD,SHERMAN OAKS,91403-2910,4419 VAN NUYS 91403-2910,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,4,03/01/1990,,"(34.1514, -118.4486)"
0000001436-0109-9,SP PLUS CORPORATION,P 74082,6325 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-2006,6325 TOPANGA CANYON 91367-2006,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,11/10/1990,,"(34.1853, -118.6059)"
0000001436-0116-1,SP PLUS CORPORATION,#82061,6400 CANOGA AVENUE,WOODLAND HILLS,91367-2425,6400 CANOGA 91367-2425,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,02/01/1998,,"(34.1869, -118.5973)"
0000001436-0119-6,SP PLUS CORPORATION,#81152,20700 VENTURA BLVD,WOODLAND HILLS,91364-2357,20700 VENTURA 91364-2357,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,11/01/1998,,"(34.167, -118.5835)"
0000001436-0138-2,SP PLUS CORPORATION,#81161,18321 CLARK STREET,TARZANA,91356-3501,18321 CLARK 91356-3501,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,01/01/2006,,"(34.1697, -118.5313)"
0000001436-0141-2,SP PLUS CORPORATION,LOT #74017,12711 VENTURA BLVD,STUDIO CITY,91604-2431,12711 VENTURA 91604-2431,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,2,06/11/1986,,"(34.1447, -118.4099)"
0000001436-0154-4,SP PLUS CORPORATION,LOT #74087,5855 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-4627,5855 TOPANGA CANYON 91367-4627,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,06/11/1986,,"(34.177, -118.6052)"
0000001436-0172-2,SP PLUS CORPORATION,LOCATION 42491,12001 VENTURA BLVD,STUDIO CITY,91604-2609,12001 VENTURA 91604-2609,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,,,2,01/15/1997,,"(34.1437, -118.3934)"
0000001436-0207-9,SP PLUS CORPORATION,LOT #80494,15243 VANOWEN STREET,VAN NUYS,91405-3605,15243 VANOWEN 91405-3605,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,6,05/19/1999,,"(34.1939, -118.465)"
0000001436-0215-0,SP PLUS CORPORATION,#81151,15314 MAGNOLIA BLVD,SHERMAN OAKS,91403-,15314 MAGNOLIA 91403-,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,4,10/26/1999,,"(34.1648, -118.4664)"
0000001436-0236-2,SP PLUS CORPORATION,#41837,21800 BURBANK BLVD,WOODLAND HILLS,91367-6470,21800 BURBANK 91367-6470,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,10/01/2009,,"(34.1726, -118.603)"
0000001436-0240-1,SP PLUS CORPORATION,81689 | LOCATION #81689,5445 BALBOA BLVD,ENCINO,91316-1509,5445 BALBOA 91316-1509,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,5,11/01/2008,,"(34.1693, -118.501)"
0000001436-0241-9,SP PLUS CORPORATION,#82281 | 81690,10515 BALBOA BLVD,GRANADA HILLS,91344-6343,10515 BALBOA 91344-6343,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,12,11/01/2008,,"(34.2613, -118.5023)"
0000001436-0257-5,SP PLUS CORPORATION,#41167,6305 OWENSMOUTH AVENUE,WOODLAND HILLS,91367-2208,6305 OWENSMOUTH 91367-2208,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,3,01/01/2006,,"(34.1854, -118.6015)"
